PacketSize,IPD,FTD_base,Camera,Avg_FPS,Timeout_Count
8192,40000,200000,Cam1,0.11,0
8192,40000,200000,Cam2,0.11,3
8192,40000,200000,Cam3,0.11,0
8192,40000,200000,Cam4,0.11,0
8192,40000,200000,Cam5,0.11,3
8192,40000,200000,Cam6,0.11,0
8192,40000,400000,Cam1,0.11,0
8192,40000,400000,Cam2,0.11,3
8192,40000,400000,Cam3,0.11,0
8192,40000,400000,Cam4,0.11,0
8192,40000,400000,Cam5,0.11,3
8192,40000,400000,Cam6,0.11,0
8192,40000,600000,Cam1,0.11,0
8192,40000,600000,Cam2,0.11,3
8192,40000,600000,Cam3,0.11,0
8192,40000,600000,Cam4,0.11,0
8192,40000,600000,Cam5,0.11,3
8192,40000,600000,Cam6,0.11,0
8192,40000,800000,Cam1,0.06,0
8192,40000,800000,Cam2,0.06,3
8192,40000,800000,Cam3,0.06,0
8192,40000,800000,Cam4,0.06,0
8192,40000,800000,Cam5,0.06,3
8192,40000,800000,Cam6,0.06,0
8192,45000,200000,Cam1,0.11,0
8192,45000,200000,Cam2,0.11,3
8192,45000,200000,Cam3,0.11,0
8192,45000,200000,Cam4,0.11,0
8192,45000,200000,Cam5,0.11,3
8192,45000,200000,Cam6,0.11,0
8192,45000,400000,Cam1,0.11,0
8192,45000,400000,Cam2,0.11,3
8192,45000,400000,Cam3,0.11,0
8192,45000,400000,Cam4,0.11,0
8192,45000,400000,Cam5,0.11,3
8192,45000,400000,Cam6,0.11,0
8192,45000,600000,Cam1,0.11,0
8192,45000,600000,Cam2,0.11,3
8192,45000,600000,Cam3,0.11,0
8192,45000,600000,Cam4,0.11,0
8192,45000,600000,Cam5,0.11,3
8192,45000,600000,Cam6,0.11,0
8192,45000,800000,Cam1,0.06,0
8192,45000,800000,Cam2,0.06,3
8192,45000,800000,Cam3,0.06,0
8192,45000,800000,Cam4,0.06,0
8192,45000,800000,Cam5,0.06,1
8192,45000,800000,Cam6,0.06,0
8192,50000,200000,Cam1,0.11,0
8192,50000,200000,Cam2,0.11,3
8192,50000,200000,Cam3,0.11,0
8192,50000,200000,Cam4,0.11,0
8192,50000,200000,Cam5,0.11,0
8192,50000,200000,Cam6,0.11,1
8192,50000,400000,Cam1,0.11,0
8192,50000,400000,Cam2,0.11,3
8192,50000,400000,Cam3,0.11,0
8192,50000,400000,Cam4,0.11,0
8192,50000,400000,Cam5,0.11,0
8192,50000,400000,Cam6,0.11,3
8192,50000,600000,Cam1,0.11,0
8192,50000,600000,Cam2,0.11,3
8192,50000,600000,Cam3,0.11,0
8192,50000,600000,Cam4,0.11,0
8192,50000,600000,Cam5,0.11,0
8192,50000,600000,Cam6,0.11,3
8192,50000,800000,Cam1,0.06,0
8192,50000,800000,Cam2,0.06,3
8192,50000,800000,Cam3,0.06,0
8192,50000,800000,Cam4,0.06,0
8192,50000,800000,Cam5,0.06,0
8192,50000,800000,Cam6,0.06,3
