IPD,FTD_base,Camera,Avg_FPS,Timeout_Count
39000,100000,Cam1,0.11,0
39000,100000,Cam2,0.11,3
39000,100000,Cam3,0.11,0
39000,100000,Cam4,0.11,0
39000,100000,Cam5,0.11,3
39000,100000,Cam6,0.11,3
39000,200000,Cam1,0.11,0
39000,200000,Cam2,0.11,3
39000,200000,Cam3,0.11,0
39000,200000,Cam4,0.11,0
39000,200000,Cam5,0.11,3
39000,200000,Cam6,0.11,3
39000,400000,Cam1,0.06,0
39000,400000,Cam2,0.06,3
39000,400000,Cam3,0.06,0
39000,400000,Cam4,0.06,0
39000,400000,Cam5,0.06,3
39000,400000,Cam6,0.06,1
39000,800000,Cam1,0.11,0
39000,800000,Cam2,0.11,3
39000,800000,Cam3,0.11,0
39000,800000,Cam4,0.11,0
39000,800000,Cam5,0.11,3
39000,800000,Cam6,0.11,0
39000,1000000,Cam1,0.11,0
39000,1000000,Cam2,0.11,3
39000,1000000,Cam3,0.11,0
39000,1000000,Cam4,0.11,0
39000,1000000,Cam5,0.11,3
39000,1000000,Cam6,0.11,0
